Ticker,Company
0136.HK,China Ruyi Holdings Limited
1513.HK,Livzon Pharmaceutical Group Inc.
3896.HK,Kingsoft Cloud Holdings Limited
2697.HK,"Guangdong True Health Medical Technology Development Co., Ltd."
2162.HK,Keymed Biosciences Inc.
3800.HK,GCL Technology Holdings Limited
1304.HK,"Fortior Technology (Shenzhen) Co., Ltd."
2357.HK,AviChina Industry & Technology Company Limited
0053.HK,Guoco Group Limited
1164.HK,CGN Mining Company Limited
2252.HK,"Shanghai MicroPort MedBot (Group) Co., Ltd."
9688.HK,Zai Lab Limited
0189.HK,Dongyue Group Limited
0525.HK,Guangshen Railway Company Limited
9889.HK,"Dongguan Rural Commercial Bank Co., Ltd."
0548.HK,Shenzhen Expressway Corporation Limited
2386.HK,"SINOPEC Engineering (Group) Co., Ltd."
0551.HK,Yue Yuen Industrial (Holdings) Limited
2602.HK,Onewo Inc.
2218.HK,"Yantai North Andre Juice Co., Ltd."
2970.HK,"Yantai North Andre Juice Co., Ltd."
6887.HK,"Sunshine Lake Pharma Co., Ltd."
0817.HK,China Jinmao Holdings Group Limited
1551.HK,"Guangzhou Rural Commercial Bank Co., Ltd."
2276.HK,"Shanghai Conant Optical Co., Ltd."
0968.HK,Xinyi Solar Holdings Limited
0142.HK,First Pacific Company Limited
1415.HK,Cowell e Holdings Inc.
2510.HK,T.S. Lines Limited
0323.HK,Maanshan Iron & Steel Company Limited
2692.HK,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd."
2706.HK,"Beijing Haizhi Technology Group Co., Ltd."
9611.HK,"Shanghai Longcheer Technology Co., Ltd."
3369.HK,"Qinhuangdao Port Co., Ltd."
2343.HK,Pacific Basin Shipping Limited
1440.HK,Star Shine Holdings Group Limited
1199.HK,COSCO SHIPPING Ports Limited
2525.HK,Hesai Group
6993.HK,Blue Moon Group Holdings Limited
0347.HK,Angang Steel Company Limited
2687.HK,"Shanghai Able Digital Science&Tech Co., Ltd."
2356.HK,Dah Sing Banking Group Limited
0772.HK,China Literature Limited
6060.HK,"ZhongAn Online P & C Insurance Co., Ltd."
2698.HK,Softcare Limited
1357.HK,"Meitu, Inc."
2232.HK,Crystal International Group Limited
3900.HK,Greentown China Holdings Limited
2518.HK,Autohome Inc.
1392.HK,"Shenzhen HQVT Technology Co., Ltd."
1686.HK,SUNeVision Holdings Ltd.
2400.HK,XD Inc.
2419.HK,Dekon Food and Agriculture Group
9985.HK,WEILONG Delicious Global Holdings Ltd
9899.HK,NetEase Cloud Music Inc.
2672.HK,"Baige Online Digital Technology Co., Ltd."
0622.HK,Oshidori International Holdings Limited
0325.HK,Bloks Group Limited
0107.HK,Sichuan Expressway Company Limited
1651.HK,Precision Tsugami (China) Corporation Limited
1606.HK,"China Development Bank Financial Leasing Co., Ltd."
1375.HK,"Central China Securities Co., Ltd."
8279.HK,AGTech Holdings Limited
0512.HK,Grand Pharmaceutical Group Limited
0340.HK,Tongguan Gold Group Limited
3393.HK,Wasion Holdings Limited
2460.HK,China Resources Beverage (Holdings) Company Limited
0179.HK,Johnson Electric Holdings Limited
0638.HK,Fibocom Wireless Inc.
9606.HK,"Duality Biotherapeutics, Inc."
3774.HK,Fameglow Holdings Limited
0017.HK,New World Development Company Limited
6098.HK,Country Garden Services Holdings Company Limited
2585.HK,"Mokingran Jewellery Group Co., Ltd."
6055.HK,China Tobacco International (HK) Company Limited
7666.HK,"Metis TechBio Co., Ltd."
